id	name	parent_id
91	people	
132	religion and belief	
29	emotions, concepts and ideas	
116	work and occupations	
55	literature and fiction	
145	society	
60	nature	
106	places	
78	objects	
13	architecture	
162	symbols & personifications	
47	leisure and pastimes	
40	interiors	
184	abstraction	
33	history	
4	group/movement	
5731	universal religious imagery	132
31	emotions and human qualities	29
120	religious	116
92	actions: postures and motions	91
95	adults	91
97	groups	91
76	water: inland	60
69	astronomy	60
77	weather	60
287	miscellaneous	78
177	actions: expressive	91
98	nudes	91
125	crime and punishment	116
71	landscape	60
73	seascapes and coasts	60
6904	family	145
18	garden structures	13
64	animals: features	60
67	animals: mammals	60
21	monuments	13
28	townscapes, man-made features	13
27	ruins	13
166	inscriptions	162
1030	abstract concepts	162
30	universal concepts	29
70	natural phenomena	60
72	plants and flowers	60
53	music and entertainment	47
82	furnishings	78
74	seasons	60
1809	trees	60
869	royalty and social rank	116
93	body	91
20114	portraits	91
175	actions: processes and functions	91
138	magic and occultism	132
88	clothing and personal effects	78
79	agriculture, gardening & fishing	78
151	dress: ceremonial/royal	145
178	diseases and conditions	91
128	military	116
17	features	13
102	named individuals	91
63	animals: fantastic	60
117	agriculture and fishing	116
14	agricultural	13
24	public and municipal	13
22	periods and styles	13
25	religious	13
26	residential	13
172	scientific and measuring	78
165	religious	162
19	industrial	13
118	arts and entertainment	116
94	children	91
75	times of the day	60
41	domestic	40
52	recreational activities	47
170	vessels and containers	78
86	tools and machinery	78
180	trading and commercial	116
160	transport: land	145
161	transport: water	145
124	industrial and crafts	116
285	sports and games	78
153	dress: fantasy/fancy	145
85	heating and lighting	78
90	weapons	78
119	domestic	116
171	medical	78
80	fine arts and music	78
46	workspaces	40
130	public service	116
121	educational and scientific	116
146	birth to death	145
61	animals: actions	60
62	animals: birds	60
156	health and welfare	145
48	eating and drinking	47
157	sex and relationships	145
68	animals: reptiles	60
444	mysticism	132
8024	society	162
174	reading, writing, printed matter	78
20	military	13
141	classical myths: gods and heroes	132
45	religious	40
169	religious and ceremonial	78
84	kitchen	78
158	social comment	145
189	from recognisable sources	184
83	domestic	78
54	sport	47
6729	formal qualities	29
185	non-representational	184
44	public and municipal	40
164	birth to death	162
6927	lifestyle and culture	145
81	electrical appliances	78
163	emotional states and conditions	162
38	politics and society	33
65	animals: fish and aquatic life	60
18725	arts	33
66	animals: insects & lower animals	60
286	food and drink	78
155	government and politics	145
149	education, science and learning	145
8028	politics	162
8026	nature	162
147	crime and punishment	145
51	art and craft	47
23	places of entertainment	13
123	equestrian and sporting	116
15	bridges and viaducts	13
114	UK counties	106
115	UK cities, towns and villages	106
113	UK countries and regions	106
43	places of entertainment	40
126	literary	116
10639	fine art and design, named works	78
183	nationality	145
9301	UK London	106
108	countries and continents	106
107	cities, towns, villages (non-UK)	106
142	classical myths: creatures	132
111	natural features (non-UK)	106
133	Judaeo-Christian imagery	132
89	toys and models	78
134	Bible: New Testament	132
127	medical	116
58	literature (not Shakespeare)	55
179	ethnicity	91
10058	film, music and ballet	55
159	transport: air	145
36	military: World War I	33
8407	man-made landmarks (non-UK)	106
57	tales, legends and traditional	55
137	world religions	132
848	gender	162
101	named families	91
135	Bible: Old Testament	132
136	Saints	132
5734	blessing	5731
2815	fear	31
12297	preaching	120
799	group	97
3454	whirlwind	77
3899	hook	287
195	man	95
1413	thief	125
597	pool	76
557	sea	73
6907	family	6904
12705	trellis	18
1573	wing	64
266	sheep	67
865	standing stone	21
989	townscape, distant	28
2018	religious	166
1560	shame	31
12977	suffering	31
11981	time - sun and moon	1030
3542	power	30
6910	husband	6904
6915	wife	6904
3964	rays	70
10065	music	53
2058	throne	82
8494	word	166
1571	poem	166
9326	printed text	166
1615	spring	74
1827	tree	1809
870	king	869
506	field	71
451	figure	95
167	woman	95
16927	strength	31
271	walking	92
537	moon	69
975	sun	69
1986	title of work	166
4622	spell	138
701	drapery	88
2610	sheaf	79
871	princess	869
270	standing	92
2057	vestments	151
2342	mental illness	178
867	soldier	128
636	hill	71
275	kissing	177
3232	knight	869
496	wooded	71
587	stair / step	17
1018	platform	17
14746	sleeping	175
565	reclining	92
727	grief	31
1554	headscarf	88
1708	monster	63
826	table	82
708	shepherd / shepherdess	117
942	valley	71
1715	destruction	30
9182	milestone	28
769	road	28
5014	signage	28
1321	staff	88
5750	worship	5731
1497	ploughing	117
2621	stable	14
209	street	28
983	townscape	28
2388	waterfront	28
1065	tower	17
7063	portico	17
8229	town hall	24
495	river	76
1886	clock	172
12089	sinner - sheep	165
12114	soul - bride	165
14461	idyll	30
1042	fertility	30
2030	windmill	19
602	horse	67
3023	sailor	128
5657	pulling	175
563	rocky	71
1104	fence	28
615	head / face	93
10061	collector / patron	118
569	cow	67
594	girl	94
694	sitting	92
1079	hand	93
1696	looking up	92
6924	mother and child	6904
249	boy	94
1810	shadow	70
527	interior - non-specific	41
493	hat	88
2303	hat, bonnet	88
1566	reading	52
263	basket	170
458	ladder	86
674	donkey	67
3617	sailor	180
2205	tenderness	31
4669	pinafore	88
7306	pack animal	160
604	riding	160
1635	bench	82
201	hat, cap	88
6523	wheelbarrow	79
686	woodman	117
2597	cart	160
2798	writing	52
5294	smock	88
605	saddle	287
570	dog - non-specific	67
1865	boat, sailing	161
3219	boat, steam	161
726	crouching	92
5873	metalworking	124
4153	sack	170
1106	watching	175
1871	turban	88
4608	playing card	285
4507	hand/hands on hip	92
10063	dance	53
2594	looking down	92
1901	headdress	88
656	holding hands	177
875	supporting	177
712	talking	177
1805	theatrical costume	153
4858	cane	88
4593	head in hand/hands	92
8640	whip	79
2800	smoking	52
5210	toga	88
619	sword	90
1524	yard	28
3607	drawing water	119
1062	crutch	171
2576	stool	82
3796	pram	160
2076	jug	170
5446	uniform	88
2331	trunk	1809
1219	legs crossed	92
3410	pushing	175
901	bucket	170
5741	prayer	5731
529	window	17
6190	study	41
3235	dress	88
272	kneeling	92
3479	cloth	287
1738	ship - non-specific	161
2094	fisherman / fisherwoman	117
941	playing	52
2355	ship, sailing	161
15954	harness	79
2567	trader	180
3051	bag	88
1521	boat, fishing	161
1229	flag - non-specific	287
1266	boat, rowing	161
5566	labourer	124
2736	stable	46
971	door	17
761	living room	41
4116	name	166
1957	name of sitter	166
698	politician, prime minister	130
12601	naturalist	121
1627	guilt	31
3119	lion	67
699	cloak	88
11011	mill	46
8513	gate	28
1134	man, old	95
722	death	146
614	storm	77
6952	mason	124
3186	vine	72
1327	sea monster	63
3745	winged horse	63
2155	smiling	177
1416	shock	31
10069	singing	53
265	dove	62
1817	despair	31
3156	teacher	121
1393	pope	120
743	garden	18
3847	humility	31
6191	pride	31
6727	wisdom	31
6914	widow	6904
3256	kitchen	41
1306	poverty	156
6973	vineyard	71
4829	wedding breakfast	48
11148	planting	117
6583	virgin	157
2127	rope	287
6922	father and child	6904
6913	son	6904
4306	window, stained glass	17
10942	pharoah	869
1408	snake	68
6217	water-lily	72
940	happiness	31
8841	sculpture, Egyptian	80
3832	office	46
3517	statue	21
1831	palm	1809
2837	harvesting	117
1454	woman, old	95
1698	stream	76
2919	peacock	62
1714	vision	444
6764	foolishness	31
4989	terrace	17
732	bedroom	41
649	sculpture, classical	80
4898	stonework	17
3658	pilgrimage	120
5743	procession	5731
11167	justice - woman with sword and scales	8024
204	painting	80
6644	sunbeam	77
1628	skeleton	93
650	path	28
5445	waterwheel	86
5212	military	27
5988	gun, rifle	90
10324	nymph	141
6876	pine	1809
6874	trunk, blasted	1809
800	wind	77
2104	wave	73
5656	shipwreck	161
2042	pier	28
946	watermill	19
8186	crypt	45
1519	beach	73
1535	sunset	75
5345	sadness	31
3302	goatherd	117
8400	peat cutter	117
4564	torch	85
881	glacier	71
880	mountain	71
2419	pelican	62
3054	hallway	41
3050	sex	157
808	politician - non-specific	130
4672	tea pot	84
839	couch	82
206	studio	46
1208	seagull	62
2835	paintbrush	80
199	palette	80
1214	wombat	67
847	caricature	158
1400	rain	77
2332	heathland	71
775	cat	67
5930	transformation	30
13791	stork	62
221	figure	189
